subgroup,state,unmet_need,se.unmet_need,year,country,survey,dist.id,period.id,pred,pred_upper,pred_lower,model
Age 25+:Parity 0,Africa:Senegal:Dakar,,,1990,,,1,1990,0.0280379221769834,0.042648786574412,0.0176626733780262,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,1991,,,1,1991,0.0280376819713739,0.042600672207678,0.0176826815395334,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,1992,,,1,1992,0.0280369920998034,0.042563434317289,0.0176998234098248,2
Age 25+:Parity 0,Africa:Senegal:Dakar,0.0,0.0,1993,Senegal,DHS_1993,1,1993,0.0280387985905593,0.0425166733476112,0.0177189149643479,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,1994,,,1,1994,0.028031773858287,0.0424728244866457,0.0177322750632013,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,1995,,,1,1995,0.0280271770603908,0.0424247241228074,0.0177481377139845,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,1996,,,1,1996,0.0280221175415377,0.0423750127214218,0.0177643565662614,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,1997,,,1,1997,0.0280165230954018,0.0423336130365822,0.0177787739575312,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,1998,,,1,1998,0.0280103599040518,0.0422798295240717,0.0177914350343555,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,1999,,,1,1999,0.0280036982992305,0.0422383030745716,0.0178048555327666,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,2000,,,1,2000,0.0279965321389942,0.0421922913474496,0.0178186066192324,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,2001,,,1,2001,0.0279887701162769,0.0421408658058794,0.0178325991550951,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,2002,,,1,2002,0.0279804416028601,0.0420944672173493,0.0178468728139396,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,2003,,,1,2003,0.0279715600573769,0.0420511554962829,0.0178598996004974,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,2004,,,1,2004,0.0279621362471813,0.0420024733748092,0.0178710123134837,2
Age 25+:Parity 0,Africa:Senegal:Dakar,0.0234194962919944,0.0105817218669538,2005,Senegal,DHS_2005,1,2005,0.0279663500346025,0.0419548719640164,0.01789652732866,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,2006,,,1,2006,0.027931940982453,0.0419110118876861,0.0178769639450122,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,2007,,,1,2007,0.0279112133807008,0.0418738038701602,0.0178713269237188,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,2008,,,1,2008,0.0278899478238025,0.0418367028449076,0.0178655441469878,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,2009,,,1,2009,0.0278681326662876,0.0417991727100786,0.0178596317738478,2
Age 25+:Parity 0,Africa:Senegal:Dakar,0.0119707763666493,0.0115534701923275,2010,Senegal,DHS_2010,1,2010,0.0278159011587348,0.0417275572134656,0.0178374003439021,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,2011,,,1,2011,0.0278530579448959,0.0417596026386165,0.0178643907219834,2
Age 25+:Parity 0,Africa:Senegal:Dakar,0.0159502054688779,0.0133912338610889,2012,Senegal,DHS_2012,1,2012,0.0278568925130963,0.0417511393962525,0.017874964926905,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,2013,,,1,2013,0.0278717014936665,0.0417649419825819,0.0178857462193116,2
Age 25+:Parity 0,Africa:Senegal:Dakar,0.0,0.0,2014,Senegal,DHS_2014,1,2014,0.0278809003970002,0.0417681340901991,0.0178955386058989,2
Age 25+:Parity 0,Africa:Senegal:Dakar,0.0369840439634545,0.0207628441534839,2015,Senegal,DHS_2015,1,2015,0.0279362799360765,0.0418174324187394,0.0179345727901304,2
Age 25+:Parity 0,Africa:Senegal:Dakar,0.0015781494540132,0.0016051831502014,2016,Senegal,DHS_2016,1,2016,0.0278614304696596,0.0417485279291256,0.0178849525475726,2
Age 25+:Parity 0,Africa:Senegal:Dakar,0.0109843103466796,0.0076286802523304,2017,Senegal,DHS_2017,1,2017,0.0278283953897542,0.0417258650850366,0.0178600989140231,2
Age 25+:Parity 0,Africa:Senegal:Dakar,0.011431637112521,0.0117376294784076,2018,Senegal,DHS_2018,1,2018,0.0278801559341701,0.041798981183216,0.0178810754349198,2
Age 25+:Parity 0,Africa:Senegal:Dakar,0.0512131196802537,0.0251723332854735,2019,Senegal,DHS_2019,1,2019,0.0279016183581939,0.0418388537626221,0.0178857055158272,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,2020,,,1,2020,0.0278985097026139,0.0418795007741163,0.0178596016555011,2
Age 25+:Parity 0,Africa:Senegal:Dakar,,,2021,,,1,2021,0.0279015807602529,0.0419251382819413,0.0178418431962576,2
